table,fig,section,name,translation,carpet,type,note
1,1,,Саде,"золаглар Простые полосы Палас | По сравнению с гладким фоном, поверхность паласа кажется более",рельефной.,,
2,1,,?,,Палас |,,
3,1,,?,,Палас |,,
4,1,,Немсе,нахышы Немецкий узор Килим,|,,
5,1,,?,,Килим |,,
6,1,,Хачлы,Крестообразный,Верни,Кар.,
7,1,,Гуш,Птица Карабахский,верни,Кар.,
7,2,,Агадж,Дерево Карабахский,верни,Кар.,Возможно это изображение спереди летящего удода.
7,3,,Гошагуш,Парные птицы Карабахский,верни,Кар.,
7,4,,Гуш,Птица Карабахский,верни,Кар.,Возможно это изображение петуха.
8,1,,Гуш,Птица Карабахский,верни,Кар.,"Этот элемент, изображающий индейку, встречается на попоне для лошади."
8,2,,Гуш,Птица Карабахский,верни,Кар.,Больше похож на изображение животного.
8,3,,?,,Карабахский верни,Кар.,"Похож на изображение животного, но возможно это является изображением ручейка."
9,1,,Тула,Охотничья собака Казахский,зили,Г.-К.,Изображен на узоре попоны лошади.
9,2,,Гоч,Баран Казахский,зили,Г.-К.,
9,3,,Кечи,Козел Бакинский,зили,К.-Ш.,
9,4,,Гуш,Птица Бакинский,зили,К.-Ш.,Возможно это изображение индейки.
9,5,,Хоруз,Петух Бакинский,зили,К.-Ш.,Встречается также в карабахском зили.
9,6,,Хейван,Животное Карабахский,зили,Кар.,"Видимо, это изображение зайца."
10,1,,Гоюн,Овца Карабахский,зили,Кар.,
10,2,,Нахыш,Узор Казахский,зили,Г.-К.,"Изображение гуся спереди, с изогнутой шеей."
10,3,,Зилинахышы,Узор зили Карабахский,зили,Кар.,
10,4,,?,,Карабахский зили,Кар.,
10,5,,Ит,Собака Карабахский,зили,Кар.,
10,6,,Зилинахышы,Узор зили Казахский,зили,Г.-К.,Напоминает стаю гусей.
10,7,,Шана,Вилы Карабахский,зили,Кар.,
10,8,,Шамдан,Подсвечник Бакинский,зили,К.-Ш.,"Взято из карабахского зили (таблица 7, рисунок 2)."
10,9,,Тоюг,Курица Казахский,зили,Г.-К.,"Этот элемент, напоминающий индейку, встречается в узоре попоны для лошади."
11,1,,Агадж,Дерево Карабахский,зили,Кар.,Напоминает летящего журавля спереди
11,2,,Безек,Украшение Карабахский,зили,Кар.,
11,3,,Бута,Бута Карабахский,зили,Кар.,"Скорее всего, это изображение ветки."
11,4,,Шамдан,Подсвечник Карабахский,зили,Кар.,
11,5,,Гарнахыш,Снежный узор Казахский,зили,Г.-К.,
11,6,,Ченг,Музыкальный инструмент Карабахский,зили,Кар.,Напоминает восточный музыкальный инструмент.
11,7,,Бөлме,Деленный Карабахский,зили,Кар.,"Заключенный в квадрат элемент, напоминает летучую мышь."
12,1,,Долама,хашийе Спиральная кайма Конская,попона,Г.-К.,Напоминает узор русских вышивок.
12,2,,Гармахлы,хашийе Крючкообразная кайма Бакинский,зили,К.-Ш.,
12,3,,?,,Конская попона,Г.-К.,Напоминает «сичандиши» в ворсных коврах. См. табл. 134.
12,4,,Кыйнах,Коготь Карабахский,зили,Кар.,
12,5,,Гармахлы,хашийе Крючкообразная кайма,Карабах,Кар.,Эта кайма очень редко встречается.
12,6,,?,,Гараджинский зили,Теб.,Напоминает кирпичный узор в архитектуре. Встречается и в Карабахе.
12,7,,Гармахлы,Крючкообразный Карабахский,верни,Кар.,
12,8,,Ченгелли,Крючковатый Казахский,зили,Г.-К.,Называется также «гюйрумлу хашийе»
13,1,,Хейван,Животное Кубинский,сумах,К.-Ш,"Элементы, данные в этой таблице, в основном взяты из ворсных ковров."
13,2,,Алма,Яблоко Кубинский,сумах,К.-Ш,Круглые элементы кубинские мастера называют «яблоком».
13,3,,Керпич,Кирпич Кубинский,сумах,К.-Ш,
13,4,,Пишикаагы,Лапа кошки Кубинский,сумах,К.-Ш,Это восьмилепестковый цветок.
13,5,,Ченгель,Крюк Кубинский,сумах,К.-Ш,
13,6,,Ылдыз,Звезда Кубинский,сумах,К.-Ш,
13,7,,Хорме,Плетение Кубинский,сумах,К.-Ш,Напоминает вязь куфического письма.
13,8,,?,,Кубинский сумах,К.-Ш,
14,1,,Ушаг,Ребенок,Ширван,К.-Ш,
14,2,,Адам,Человек,Джек,К.-Ш,Напоминает пугало (чучело).
14,3,,Адам,Человек,Казах,Г.-К,
14,4,,Адам,Человек,Карабах,Кар.,
14,5,,Адам,ве ат Человек и лошадь,Караязы,Г.-К,Изображение сельскохозяйственной работы.
14,6,,Адам,Человек,Мугань,Кар.,
14,7,,Адам,Человек,Шахназарли,К.-Ш,
14,8,,Адам,Человек,Леджеди,К.-Ш,Изображен танцующий человек с платочком в руке.
14,9,,Баш,Голова,Сураханы,К.-Ш,Знак солнца.
15,1,,Быг,Усы,Карабах,Кар.,
15,2,,Әл,"Рука Гянджа Г.-К Иногда называют «пенджа», что в переводе означает кисть руки. Этот элемент характерен для молитвенных",ковриков,—,«намазлык».
15,3,,Гёз,Глаз,Карабах,Кар.,"Иногда называют бусинкой, которую носят против дурного глаза."
15,4,,Әләлә,Рука об руку,Мараза,К.-Ш,Изображение нескольких таких элементов вместе напоминает азербайджанский народный танец «яллы».
15,5,,Габырга,Ребро,Салахлы,Г.-К,"Вместе с тем можно предположить, что это изображение могилы."
15,6,,Киши,Мужчина,Мараза,К.-Ш,
16,1,,Кепенек,Бабочка,Биджо,К.-Ш,Считается одним из основных элементов ковра «Биджо»
16,2,,Хейван,Животное,Гашед,К.-Ш,Изображение сидящего животного.
16,3,,Хейван,Животное,Казах,Г.-К,Летящая птица.
16,4,,Хейван,Животное,Гасымушагы,Кар.,Напоминает летящую птицу.
16,5,,Бута,Бута,Ханлыг,Кар.,Встречается также в верни и зили. Этот элемент напоминает летящую птицу.
16,6,,Дев,Див. Сказочное существо,Казах,Г.-К,Встречается также в китайских миниатюрах.
16,7,,Гоша,Парный,Карагаплы,К.-Ш,Элемент «гоша» встречается в ковре Карагаплы в различных формах.
17,1,,Балыг,Рыба,Биджо,К.-Ш,Встречается также в бакинских коврах.
17,2,,Хейван,Животное,Джек,К.-Ш,"Можно предположить, что это изображение рака."
17,3,,Херченг,Рак,Карабах,Кар.,
17,4,,Тысбага,Черепаха,Казах,Г.-К,
