title,author,type,language,url,why_relevant,status
Онлайн-текст Керимова,,website,ru,https://artyx.ru,уже использовался как источник,"не в реестре, тир не решён"
Т. II Керимова + «Ковры и ковровые изделия»,,website,az,https://intangible.az,"не решено, добавлять ли","не в реестре, тир не решён"
Издание Dover 1974 (англ. Керимов),,book,en,https://archive.org,"не решено, добавлять ли","не в реестре, тир не решён"
INFORMATIVE CODE OF AZERBAIJANI CARPET AND ITS ORNAMENT-SYMBOL,Aylal Heydarova,article,en,https://doi.org/10.23856/5608,Рецензируемая статья в научном журнале Polonia University Scientific Journal о семиотике и символике азербайджанских ковров; исследует информационный код орнаментов как отражение космологии и древних верований,"кандидат от литературного скаута, не подтверждён"
Dragon images in the Azerbaijan non-dragon carpets,"Durdana Gadirova, Telman Ibrahimov",article,en,https://doi.org/10.59849/2310-5399.2025.1.70,"Свежая статья (2025) в журнале Problems of Arts and Culture о символике драконов в региональных азербайджанских коврах (Ширван, Куба, Газах); раскрывает различия между дворцовыми и фольклорными интерпретациями мотива","кандидат от литературного скаута, не подтверждён"
One approach to the study and cataloging of handmade Azerbaijani carpets,Авторы не указаны (исследовательский доклад конференции),article,en,https://doi.org/10.59849/aidd.2024.82,"Статья 2024 года о системе распознавания и классификации орнаментов азербайджанских ковров; детально описывает мотивы, символику и школьные особенности различных регионов (Куба, Ширван, Карабах, Газах)","кандидат от литературного скаута, не подтверждён"
The Symbolism of Time in the Flying Carpet and the Wind Horse: Chaos-Cosmos Transitions in Nakhchivan Folklore,Автор не указан в кратком описании,article,en,https://doi.org/10.69760/portuni.0108001,"Статья о семиотике мотивов в азербайджанском фольклоре и ковровых изделиях, особенно летающего ковра как космологического символа; раскрывает связь ковровых мотивов с мифопоэтическими представлениями","кандидат от литературного скаута, не подтверждён"
Oriental Rugs: Caucasian,Ian Bennett,book,en,https://www.jozan.net/rug-books/oriental-rugs-caucasian/,"Классический académический труд (1981) издатель Antique Collectors' Club; идентифицировал 85 подгрупп кавказских ковров с анализом символики мотивов (барана, колеса жизни, драконов и др.), основополагающий источник по символике","кандидат от литературного скаута, не подтверждён"
Garabagh Carpets: Catalog,"Gülzade Abdulova (author), edited by Naila Velixanlı",museum_catalog,az,https://bcin.info/vufind/Record/Getty%20Conservation%20Institute.GCI9933540577701551,"Официальный каталог Национального музея истории Азербайджана (НАНА) с 150 карабахскими коврами и ковровыми изделиями из музейной коллекции, включающий методы окраски и подробные характеристики экспонатов (2013 г.)","кандидат от литературного скаута, не подтверждён"
"Early Caucasian Rugs: The Textile Museum Fiftieth Anniversary, 1925-1975",Charles Grant Ellis,museum_catalog,en,https://library.nga.gov/discovery/fulldisplay/alma991328603504896/01NGA_INST:NGA,"Классический музейный каталог Textile Museum (Вашингтон) с подробным анализом кавказских ковров, включая куба-ширванские, карабахские типы, с библиографией (1975 г.)","кандидат от литературного скаута, не подтверждён"
