source_id,type,language,tier,status,url
kerimov_vol1,скан книги,az,1,"Pass 1 v2 в процессе, 369 стр.",
kerimov_vol2,скан книги,ru,1,не начат,
kerimov_vol3,скан книги,ru,1,не начат,
arcache_auction_2026_02,текстовый PDF,en,3,не начат; аукционный каталог,
sahib_mansurov,текстовый PDF,tr,3,"не начат; текст уже есть, OCR/vision не нужен",
azerbaijanrugs_com,сайт (коммерческий),en,2,не начат,
met_447469,музейная запись,en,1,"кандидат от агента-разведчика (Shirvan carpet), не подтверждён",https://www.metmuseum.org/art/collection/search/447469
met_447472,музейная запись,en,1,"кандидат от агента-разведчика (Shirvan carpet), не подтверждён",https://www.metmuseum.org/art/collection/search/447472
met_445309,музейная запись,en,1,"кандидат от агента-разведчика (Shirvan carpet), не подтверждён",https://www.metmuseum.org/art/collection/search/445309
met_448418,музейная запись,en,1,"кандидат от агента-разведчика (Shirvan carpet), не подтверждён",https://www.metmuseum.org/art/collection/search/448418
met_451006,музейная запись,en,1,"кандидат от агента-разведчика (Shirvan carpet), не подтверждён",https://www.metmuseum.org/art/collection/search/451006
met_447467,музейная запись,en,1,"кандидат от агента-разведчика (Shirvan carpet), не подтверждён",https://www.metmuseum.org/art/collection/search/447467
met_447723,музейная запись,en,1,"кандидат от агента-разведчика (Shirvan carpet), не подтверждён",https://www.metmuseum.org/art/collection/search/447723
met_452312,музейная запись,en,1,"кандидат от агента-разведчика (Karabakh carpet), не подтверждён",https://www.metmuseum.org/art/collection/search/452312
met_447485,музейная запись,en,1,"кандидат от агента-разведчика (Karabakh carpet), не подтверждён",https://www.metmuseum.org/art/collection/search/447485
met_447577,музейная запись,en,1,"кандидат от агента-разведчика (Karabakh carpet), не подтверждён",https://www.metmuseum.org/art/collection/search/447577
met_447471,музейная запись,en,1,"кандидат от агента-разведчика (Kuba rug), не подтверждён",https://www.metmuseum.org/art/collection/search/447471
met_445363,музейная запись,en,1,"кандидат от агента-разведчика (Kuba rug), не подтверждён",https://www.metmuseum.org/art/collection/search/445363
met_447483,музейная запись,en,1,"кандидат от агента-разведчика (Kazak carpet), не подтверждён",https://www.metmuseum.org/art/collection/search/447483
met_681580,музейная запись,en,1,"кандидат от агента-разведчика (Moghan carpet), не подтверждён",https://www.metmuseum.org/art/collection/search/681580
met_681632,музейная запись,en,1,"кандидат от агента-разведчика (Moghan carpet), не подтверждён",https://www.metmuseum.org/art/collection/search/681632
met_681642,музейная запись,en,1,"кандидат от агента-разведчика (Moghan carpet), не подтверждён",https://www.metmuseum.org/art/collection/search/681642
met_447468,музейная запись,en,1,"кандидат от агента-разведчика (Baku carpet), не подтверждён",https://www.metmuseum.org/art/collection/search/447468
vam_O76593,музейная запись,en,1,"кандидат от агента-разведчика (Shirvan carpet), не подтверждён",https://collections.vam.ac.uk/item/O76593/
vam_O66935,музейная запись,en,1,"кандидат от агента-разведчика (Shirvan carpet), не подтверждён",https://collections.vam.ac.uk/item/O66935/
vam_O120779,музейная запись,en,1,"кандидат от агента-разведчика (Shirvan carpet), не подтверждён",https://collections.vam.ac.uk/item/O120779/
vam_O67269,музейная запись,en,1,"кандидат от агента-разведчика (Shirvan carpet), не подтверждён",https://collections.vam.ac.uk/item/O67269/
vam_O67210,музейная запись,en,1,"кандидат от агента-разведчика (Shirvan carpet), не подтверждён",https://collections.vam.ac.uk/item/O67210/
vam_O66831,музейная запись,en,1,"кандидат от агента-разведчика (Shirvan carpet), не подтверждён",https://collections.vam.ac.uk/item/O66831/
vam_O117923,музейная запись,en,1,"кандидат от агента-разведчика (Shirvan carpet), не подтверждён",https://collections.vam.ac.uk/item/O117923/
vam_O66937,музейная запись,en,1,"кандидат от агента-разведчика (Shirvan carpet), не подтверждён",https://collections.vam.ac.uk/item/O66937/
vam_O152856,музейная запись,en,1,"кандидат от агента-разведчика (Shirvan carpet), не подтверждён",https://collections.vam.ac.uk/item/O152856/
vam_O67273,музейная запись,en,1,"кандидат от агента-разведчика (Shirvan carpet), не подтверждён",https://collections.vam.ac.uk/item/O67273/
vam_O154775,музейная запись,en,1,"кандидат от агента-разведчика (Shirvan carpet), не подтверждён",https://collections.vam.ac.uk/item/O154775/
vam_O67265,музейная запись,en,1,"кандидат от агента-разведчика (Kuba rug), не подтверждён",https://collections.vam.ac.uk/item/O67265/
vam_O153402,музейная запись,en,1,"кандидат от агента-разведчика (Kuba rug), не подтверждён",https://collections.vam.ac.uk/item/O153402/
vam_O67137,музейная запись,en,1,"кандидат от агента-разведчика (Kuba rug), не подтверждён",https://collections.vam.ac.uk/item/O67137/
vam_O66936,музейная запись,en,1,"кандидат от агента-разведчика (Kazak carpet), не подтверждён",https://collections.vam.ac.uk/item/O66936/
vam_O67286,музейная запись,en,1,"кандидат от агента-разведчика (Kazak carpet), не подтверждён",https://collections.vam.ac.uk/item/O67286/
vam_O153331,музейная запись,en,1,"кандидат от агента-разведчика (Kazak carpet), не подтверждён",https://collections.vam.ac.uk/item/O153331/
vam_O153341,музейная запись,en,1,"кандидат от агента-разведчика (Baku carpet), не подтверждён",https://collections.vam.ac.uk/item/O153341/
vam_O76598,музейная запись,en,1,"кандидат от агента-разведчика (Baku carpet), не подтверждён",https://collections.vam.ac.uk/item/O76598/
